unix,date,symbol,open,high,low,close,Volume BTC,Volume GBP,tradecount
1.65154E+12,03/05/2022 02:00,BTC/GBP,30771.1,30832.81,30602.72,30666.8,5.71123,175465.1779,346
1.65154E+12,03/05/2022 01:00,BTC/GBP,30693.62,30774.29,30651.53,30760.06,6.70168,205867.655,451
1.65154E+12,03/05/2022 00:00,BTC/GBP,30846.63,30860.85,30675.47,30686.44,10.47205,322622.251,641
1.65153E+12,02/05/2022 23:00,BTC/GBP,30907.4,31016.56,30782.23,30846.62,7.48491,231177.5496,460
1.65153E+12,02/05/2022 22:00,BTC/GBP,30965.65,31141.01,30882.38,30894.49,10.15928,314829.7366,504
1.65153E+12,02/05/2022 21:00,BTC/GBP,30686.72,31015.01,30658.98,30935.28,5.08128,156818.5838,341
1.65152E+12,02/05/2022 20:00,BTC/GBP,30894.4,30894.4,30684,30687.37,6.16606,189802.3942,313
1.65152E+12,02/05/2022 19:00,BTC/GBP,30604.47,30916.12,30604.47,30899.73,15.82395,487172.0187,402
1.65151E+12,02/05/2022 18:00,BTC/GBP,30739.14,30814.06,30519.91,30612.15,21.32009,652989.8631,586
1.65151E+12,02/05/2022 17:00,BTC/GBP,30833.45,30897.54,30600.65,30738.4,11.88854,365480.7361,529
1.65151E+12,02/05/2022 16:00,BTC/GBP,30898.99,31032.33,30811.21,30864.46,10.77546,332976.6175,535
1.6515E+12,02/05/2022 15:00,BTC/GBP,30996,31081.7,30847.96,30915.17,23.08859,714711.1983,654
1.6515E+12,02/05/2022 14:00,BTC/GBP,31039.5,31222.32,30872.78,31009.66,32.04288,994511.275,781
1.6515E+12,02/05/2022 13:00,BTC/GBP,30723.2,31230,30550,31039.51,40.97593,1266622.547,1018
1.65149E+12,02/05/2022 12:00,BTC/GBP,30673.56,30832.51,30617.02,30739.21,9.14805,281148.7699,514
1.65149E+12,02/05/2022 11:00,BTC/GBP,30823.98,30858.83,30662.47,30693.91,13.48636,414832.0383,612
1.65149E+12,02/05/2022 10:00,BTC/GBP,30857.03,30944.49,30774.44,30822.28,8.53799,263567.1864,518
1.65148E+12,02/05/2022 09:00,BTC/GBP,30974.75,31095.76,30859.07,30868.94,10.49861,325266.3573,585
1.65148E+12,02/05/2022 08:00,BTC/GBP,30924.25,31015.82,30862.69,30994.72,12.60927,390220.6209,592
1.65147E+12,02/05/2022 07:00,BTC/GBP,31011.27,31087.13,30872.94,30924.24,9.26964,287522.4502,459
1.65147E+12,02/05/2022 06:00,BTC/GBP,31107.52,31219.51,31019.27,31019.27,9.01988,280599.7595,504
1.65147E+12,02/05/2022 05:00,BTC/GBP,31074.79,31122.26,30980.44,31107.5,6.94074,215443.7621,343
